flare_date,flare_longitude,flare_magnitude,flare_class,cme_date,cme_speed,cme_width,peak_flux_10,peak_flux_30,peak_flux_100
1992-11-23 20:18:00,89.0,4.4000000000000006e-05,M4.4,,,,2.73,,
1993-03-04 12:17:00,56.0,8.099999999999999e-06,C8.1,,,,14.22,3.43,0.61
1993-03-06 20:14:00,-29.0,7.7e-05,M7.7,,,,9.73,1.61,
1993-03-12 16:48:00,51.0,7.000000000000001e-05,M7,,,,35.13,7.67,1.32
1993-06-07 13:54:00,30.0,5.4000000000000005e-05,M5.4,,,,5.66,1.74,
1994-02-20 01:38:00,2.0,4e-05,M4,,,,8447.91,16.54,0.45
1994-10-19 22:35:00,24.0,3.2000000000000005e-05,M3.2,,,,30.26,2.66,0.45
1995-10-20 05:54:00,55.0,1.5000000000000002e-05,M1.5,,,,46.97,4.76,
1997-11-04 05:52:00,33.0,0.00021,X2.1,1997-11-04 06:52:00,785.0,360.0,54.49,16.38,1.51
1997-11-06 11:49:00,63.0,0.0009400000000000001,X9.4,1997-11-06 12:49:00,1556.0,360.0,437.32,159.11,25.58
1998-04-20 09:38:00,90.0,1.4e-05,M1.4,1998-04-20 10:38:00,1863.0,150.0,1212.01,229.26,2.58
1998-04-29 16:06:00,-20.0,6.8e-05,M6.8,1998-04-29 17:06:00,1374.0,360.0,3.58,,
1998-05-02 13:31:00,15.0,0.00011000000000000002,X1.1,1998-05-02 14:31:00,938.0,360.0,121.9,39.13,5.5
1998-05-06 07:58:00,65.0,0.00027000000000000006,X2.7,1998-05-06 08:58:00,792.0,248.0,173.59,33.53,2.45
1998-05-09 03:04:00,102.0,7.7e-05,M7.7,1998-05-09 04:04:00,2331.0,178.0,10.49,2.33,
1998-06-16 18:03:00,115.0,1e-05,M1,1998-06-16 19:03:00,1484.0,100.0,3.38,1.54,
1998-09-23 06:40:00,-9.0,7.1e-05,M7.1,,,,33.32,1.58,
1998-09-30 13:04:00,85.0,2.9e-05,M2.9,,,,802.19,78.5,1.59
1998-11-05 19:00:00,18.0,8.400000000000001e-05,M8.4,1998-11-05 20:00:00,1118.0,360.0,9.65,,
1998-11-14 05:00:00,115.0,1.3e-06,C1.3,,,,245.35,51.97,2.59
,,,,1999-11-14 05:00:00,1495.0,360.0,24.2,2.58,
1999-05-03 05:36:00,-32.0,4.4000000000000006e-05,M4.4,1999-05-03 06:36:00,1584.0,360.0,11.56,,
1999-05-27 11:36:00,-78.0,4.5e-06,C4.5,1999-05-27 12:36:00,1691.0,360.0,8.18,2.15,
1999-06-04 06:52:00,69.0,3.9e-05,M3.9,1999-06-04 07:52:00,2230.0,150.0,46.24,3.42,
2000-02-18 08:38:00,26.0,1.4e-06,C1.4,2000-02-18 09:38:00,728.0,360.0,10.79,2.72,0.53
2000-04-04 15:12:00,66.0,9.699999999999999e-06,C9.7,2000-04-04 16:12:00,1188.0,360.0,39.25,1.44,
2000-05-15 15:46:00,67.0,7.8e-06,C7.8,2000-05-15 16:46:00,1212.0,165.0,2.38,,
2000-06-06 14:58:00,-18.0,0.00022999999999999998,X2.3,2000-06-06 15:58:00,1119.0,360.0,60.14,1.62,
2000-06-10 16:40:00,38.0,5.2000000000000004e-05,M5.2,2000-06-10 17:40:00,1108.0,360.0,35.26,9.83,0.85
2000-06-25 07:17:00,55.0,1.9e-05,M1.9,2000-06-25 08:17:00,1617.0,165.0,4.3,,
2000-07-12 18:41:00,64.0,5.7e-05,M5.7,2000-07-12 19:41:00,820.0,101.0,7.32,,
2000-07-14 10:03:00,7.0,0.0005,X5,2000-07-14 11:03:00,1674.0,360.0,18133.72,3467.59,203.39
2000-07-22 11:17:00,56.0,3.0000000000000004e-05,M3,2000-07-22 12:17:00,1230.0,259.0,14.07,3.38,0.49
,,,,2000-07-22 11:17:00,905.0,360.0,15.71,1.31,
2000-08-12 13:48:00,46.0,3.2e-06,C3.2,2000-08-12 14:48:00,499.0,117.0,4.34,,
2000-09-12 11:31:00,9.0,1e-05,M1,2000-09-12 12:31:00,1550.0,360.0,222.17,6.74,0.47
2000-10-16 06:40:00,90.0,2.5e-05,M2.5,2000-10-16 07:40:00,1336.0,360.0,12.05,3.1,0.45
2000-10-25 08:45:00,66.0,4e-06,C4,2000-10-25 09:45:00,770.0,360.0,11.82,1.39,
2000-10-29 01:28:00,-35.0,4.4000000000000006e-05,M4.4,,,,4.08,,
2000-11-08 22:42:00,77.0,7.000000000000001e-05,M7,2000-11-08 23:42:00,1738.0,170.0,10989.65,3053.99,116.0
2000-11-24 04:55:00,5.0,0.0002,X2,2000-11-24 05:55:00,1289.0,360.0,10.19,2.6,0.43
2000-11-24 14:51:00,7.0,0.00022999999999999998,X2.3,2000-11-24 15:51:00,1245.0,360.0,68.85,10.14,0.72
2000-11-25 00:59:00,-50.0,8e-05,M8,2000-11-25 01:59:00,2519.0,360.0,669.89,53.88,0.63
2001-01-21 19:17:00,-36.0,3e-06,C3,2001-01-21 20:17:00,664.0,75.0,3.42,1.01,
