Egun_MeV,Edep_Kapton_foil0_MeV,Edep_Si_side0_MeV,Edep_Scintillator_MeV
109.54938495260627,0.004105694520213503,0.0,0.0
7850.92769666109,0.0012587511458546316,0.0,0.0
6036.488225633938,0.000719245003618258,0.0,2.455309732533191
2686.563804207471,0.025294465237655293,0.0,0.055173137376326654
272.1107176433782,0.0,0.0,0.0
1940.6966396838827,0.0010059004809671937,0.04022235284621388,5.244376570740391
3640.668208310355,0.0,0.0,0.0
2173.498596565345,0.0008512890538010697,0.0,3.4513285169411687
7136.833241297719,0.0006169938707631364,0.0,3.1104755484275683
2628.474182443179,0.0,0.0,0.0
9091.56587602163,0.0,0.0,0.0
6047.205402968096,0.00047064743820620107,0.0,0.0
2338.320469469934,0.0,0.0,0.0
7584.739756267887,0.0010126341675093839,0.0,3.206210866177935
2905.6067074631587,0.001542630885559998,0.0,3.6716315095533747
9788.363234600276,0.0009870181994835582,0.0,0.0
3564.9601914209225,0.0003913031998532696,0.0,3.0398294975760387
7026.360840803813,0.001824738614066549,0.0,0.0
1158.7164103608586,0.0013525211941334656,0.0,0.0
9331.6010653413,0.0007217737224848863,0.0,0.0
7259.990941958106,0.0014640883463747393,0.0,0.18218672056841498
2968.770412052317,0.0019026659048653092,0.0,0.0
2096.987168564712,0.0,0.0,0.0
4793.17640686327,0.001108787825581738,0.0,0.0
5234.487640170678,0.0022803540290465565,0.0,0.0
7682.8943532974845,0.0,0.0,0.0
2127.8116149183943,0.0015258641418201182,0.0,0.0
7583.19849810504,0.0,0.0,0.0
9723.32762117928,0.0,0.0,0.0
594.980807885367,0.005299250981230741,0.0,0.0
4716.456676575727,0.0034682329238872323,0.0,0.0
2987.6072121578054,0.0005848391572818032,0.0,4.272566295246323
8114.7923072895455,0.0,0.0,0.0
487.5073486276055,0.002513312700625215,0.0,0.0
4066.9157172073506,0.0020237407590235667,0.0,2.9038096892449814
9616.262857283667,0.0012100953342539579,0.0,3.1849603663814983
662.940678915167,0.0015540624774825135,0.06732699910158596,4.731127195027372
5414.709278894583,0.0021577519711556297,0.0,1.9827318844047332
5268.287849440955,0.0,0.0,0.0
7171.813287085307,0.0018630989457142262,0.0,3.919875680823436
2052.7590524158772,0.0008611927271451149,0.0,0.739185728121715
2202.529988787901,0.0009252859171324659,0.0,0.0
27.243847241605685,0.03811240037256048,0.0,0.0
2302.071337367407,0.0,0.0,0.0311765
9746.04688989631,0.00057894759847872,0.0,0.0
5567.080060195616,0.004058311509726371,0.0,0.0
1759.3410788362612,0.0,0.0,0.0
4201.78061994952,0.0014665655735844982,0.0,1.6494384694054107
2764.4199006070335,0.0018948321447081855,0.0,0.0
157.83994966686652,0.0032184024881679067,0.0,0.0
4294.197356241458,0.0,0.0,0.0
6098.484807100179,0.0010936049195403917,0.0,0.0
4992.095747844077,0.0009186167788691813,0.0,3.2357587706331143
3524.5077765088845,0.0,0.0,0.0
3796.0782869134423,0.0005782806408308466,0.0,0.11644599082850383
4955.082238614968,0.0039056046104568244,0.0,0.0
6047.495422913443,0.00022589869078715557,0.0,0.0
1286.994010480176,0.0019551663576296914,0.0,0.0
7045.6897530836595,0.0011847827410853666,0.0,0.0
3134.1879105101516,0.001215287805553135,0.0,3.976395866995044
1936.2312728791376,0.0,0.0,0.0
346.62376856409736,0.0025282924066328616,0.0,5.475023230404591
5230.130325580241,0.0019223427274644488,0.0,0.0
808.9992668824359,0.0007986201637103724,0.0,0.0
3150.36197837617,0.0015747434073165028,0.0,0.0
3476.064571923228,0.0016271711108299153,0.0,0.0
7545.049027767689,0.0010465635382910523,0.0,0.712824524074384
4081.1117512865726,0.0005697508534643177,0.0,0.0
7477.7887798124675,0.0007798879069704183,0.0,0.0
6473.690495459486,0.0010882554229305547,0.0,3.2664101551318803
8906.292322610574,0.001354700654727978,0.03317465050004289,4.3320675197272385
5147.366723943362,0.0013823037205453138,0.0,0.0
5066.536680161372,0.0,0.0,0.03696453983127139
7418.22848692275,0.0,0.0,0.0
7849.4829457773285,0.0,0.0,0.0
5895.663031287196,0.002317343168702414,0.0,0.0
8072.4242384826475,0.0016810950663995764,0.0,1.7479124748190693
2365.681300255134,0.0016292519363947987,0.0,4.652244582170631
5974.088153336831,0.0006905484172707968,0.0,3.539630276563264
3760.7078780035904,0.0018586132656105594,0.0,2.27630895027108
791.8433069308252,0.0012698938248373664,0.0,3.374409130803126
9215.1675725457,0.0013236379697750345,0.0,0.0
9861.150806502656,0.0,0.0,0.0
1011.5134586207979,0.0011602186480863563,0.0,3.4710795073197347
5294.015002063711,0.0009647595268528498,0.0,0.0
5141.909172370855,0.0,0.0,0.0
1808.5746971705594,0.0009540131458843303,0.0,3.175077844842338
4830.313851903052,0.0014775192208858938,0.0,0.0
8638.105744445373,0.00120026092351224,0.0,0.0
9785.799053279634,0.0022668776810762757,0.0,3.2891007169755477
7010.167095340539,0.0010061106207555845,0.0,0.0
769.382295621629,0.0016087319926156962,0.05747046700131221,3.509060139007255
4593.149306071634,0.0009259091763243846,0.0,0.0
5447.395741746492,0.001807882681596498,0.0,3.0381556816222997
2332.750894784027,0.0,0.0,0.18248202528764665
9494.176335748225,0.0016651021540781419,0.0,0.0
6890.896862993479,0.0011844340270015209,0.0,0.0
4523.400589225806,0.001847626015420734,0.0,3.5947834848824067
468.4255305480652,0.0014703929946944716,0.0,2.41968355508475
7427.119939821185,0.0004968291551046042,0.0,4.258208155363543
9004.497047004083,0.001128534341608284,0.0,0.0
2961.9377749007376,0.0005214953584509158,0.0,2.8093085301897522
